Classifier,Gen Score,Test Score,Time
SVM,0.8544,0.8552000000000002,0.5941517353057861
Random Forest,0.8528,0.844,7.366913080215454
XGBoost,0.8544,0.8384,12.693807125091553
XGBoost RF,0.8448,0.8376000000000001,22.193244218826294
Naive Bayes,0.7976,0.8072000000000001,0.09380483627319336
Logistic Regression,0.7816,0.804,17.150424003601074
MLP,0.8064,0.7952,12.190020084381104
KNN,0.7848,0.7904,0.2539799213409424
Decision Tree,0.7464,0.7552,1.2555320262908936
AdaBoost,0.404,0.3696,9.341793775558472
