Classifier,Gen Score,Test Score,Time
XGBoost,0.8832,0.8775999999999999,2.073641538619995
SVM,0.868,0.8608,0.18173432350158691
XGBoost RF,0.8648,0.8544,3.5868866443634033
Random Forest,0.8656,0.8535999999999999,3.078883647918701
MLP,0.8432,0.852,13.786490201950073
Logistic Regression,0.82,0.8144,7.5371253490448
KNN,0.82,0.8048,0.05337190628051758
Decision Tree,0.7984,0.7872,0.4139251708984375
Naive Bayes,0.7848,0.764,0.023266315460205078
AdaBoost,0.7648,0.6119999999999999,3.421985626220703
