Classifier,Gen Score,Test Score,Time
SVM,0.8912,0.8928,0.20319890975952148
XGBoost,0.8856,0.892,2.117360830307007
Random Forest,0.876,0.8896000000000001,3.4483094215393066
XGBoost RF,0.8648,0.8744,4.111380100250244
MLP,0.864,0.8615999999999999,5.278869152069092
Logistic Regression,0.8488,0.8384,3.754518985748291
Naive Bayes,0.8496,0.8272,0.014208316802978516
KNN,0.7992,0.7984,0.05130887031555176
Decision Tree,0.7928,0.78,0.5118989944458008
AdaBoost,0.3992,0.38639999999999997,5.014141082763672
