Classifier,Gen Score,Test Score,Time
SVM,0.8488,0.86,0.195235013961792
XGBoost RF,0.8352,0.8576,4.281199216842651
Random Forest,0.8472,0.8552,3.642822027206421
XGBoost,0.8384,0.8512000000000001,2.421112537384033
Naive Bayes,0.8096,0.8112,0.01365041732788086
Logistic Regression,0.8032,0.804,7.625869035720825
KNN,0.7688,0.7928,0.08635997772216797
MLP,0.7856,0.7856,7.30663275718689
Decision Tree,0.7664,0.7687999999999999,0.6311161518096924
AdaBoost,0.3976,0.3896,5.021745681762695
