Classifier,Gen Score,Test Score
KNN,0.828,0.8560000000000001
SVM,0.8432,0.8632
Naive Bayes,0.8696,0.8744
Decision Tree,0.9008,0.9
Logistic Regression,0.8624,0.8824
Random Forest,0.928,0.9344000000000001
AdaBoost,0.5904,0.4464
MLP,0.912,0.9056000000000001
XGBoost,0.9376,0.9432
XGBoost RF,0.9344,0.9399999999999998
