Classifier,Gen Score,Test Score
KNN,0.7976,0.8160000000000001
SVM,0.8432,0.8480000000000001
Naive Bayes,0.7912,0.8208
Decision Tree,0.756,0.7752
Logistic Regression,0.82,0.8168000000000001
Random Forest,0.8448,0.8552
AdaBoost,0.3888,0.388
MLP,0.8184,0.8128
XGBoost,0.8416,0.8544
XGBoost RF,0.8272,0.8384
