Classifier,Gen Score,Test Score
KNN,0.708,0.6983999999999999
SVM,0.892,0.8728
Naive Bayes,0.8232,0.8384
Decision Tree,0.7776,0.7896
Logistic Regression,0.8264,0.8472000000000002
Random Forest,0.8744,0.8744
AdaBoost,0.384,0.3688
MLP,0.8344,0.8472
XGBoost,0.88,0.8816
XGBoost RF,0.868,0.8720000000000001
