Classifier,Gen Score,Test Score
KNN,0.8168,0.8064
SVM,0.868,0.8656
Naive Bayes,0.8136,0.8248000000000001
Decision Tree,0.7776,0.7847999999999999
Logistic Regression,0.84,0.8208
Random Forest,0.8648,0.8592000000000001
AdaBoost,0.6464,0.5776000000000001
MLP,0.8448,0.8176
XGBoost,0.872,0.8704000000000001
XGBoost RF,0.872,0.8583999999999999
